id	name	name	name	cell_cicle	treatments	genetic_modifications	name	name	assembly_id	name	red_errors	orange_errors	yellow_errors	replicates	replication_type
/experiments/ENCSR391NPE/	ChIP-seq	cell line	22Rv1	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	0	2	isogenic
/experiments/ENCSR857PBV/	ChIP-seq	cell line	22Rv1	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	1	2	isogenic
/experiments/ENCSR246MLJ/	ChIP-seq	cell line	22Rv1	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	2	2	isogenic
/experiments/ENCSR208AWA/	RAMPAGE	cell line	A172	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	0	2	isogenic
/experiments/ENCSR580GSX/	total RNA-seq	cell line	A172	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	0	2	isogenic
/experiments/ENCSR080XAB/	RAMPAGE	cell line	A375	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	0	2	isogenic
/experiments/ENCSR376XXO/	small RNA-seq	cell line	A375	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	0	2	isogenic
/experiments/ENCSR504VXC/	total RNA-seq	cell line	A375	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	0	2	isogenic
/experiments/ENCSR000CKB/	CAGE	cell line	A549	-	-	-	pipeline completed	ENCODE2	GRCh38	Homo sapiens	0	0	1	2	isogenic
/experiments/ENCSR000CJV/	CAGE	cell line	A549	-	-	-	pipeline completed	ENCODE2	GRCh38	Homo sapiens	0	0	1	2	isogenic
/experiments/ENCSR000CKC/	CAGE	cell line	A549	-	-	-	pipeline completed	ENCODE2	GRCh38	Homo sapiens	0	0	1	2	isogenic
/experiments/ENCSR616MOB/	ChIP-seq	cell line	A549	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	0	2	isogenic
/experiments/ENCSR277OOQ/	ChIP-seq	cell line	A549	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	2	2	isogenic
/experiments/ENCSR513XQX/	ChIP-seq	cell line	A549	-	-	-	pipeline completed	ENCODE3	GRCh38	Homo sapiens	0	0	2	2	isogenic
